"kingdom","phylum","class","order","family","genus","species","A","B","C"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","guilliermondii",-1.95996398454005,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","guillouiae",-1.95996398454005,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","human","gut metagenome",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hungatella","hathewayi",1.95996398454005,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Acanthamoeba","healyi",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","hormaechei",-2.05374891063182,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","hungatei",1.95996398454005,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","indistinctus",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Moryella","indoligenes",1.95996398454005,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","iners",0,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","infantis",-1.95996398454005,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","intermedia",1.95996398454005,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","intestinihominis",-2.96773792534179,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","inulinivorans",1.95996398454005,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter","kobei",-2.05374891063182,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","lactaris",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Enterocloster","lavalensis",1.95996398454005,0,0
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Eggerthella","lenta",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","longicatena",1.56435806527895,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lactonifactor","longoviformis",1.95996398454005,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","luteciae",-1.95996398454005,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Lupinus","luteus",0,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Plantago","media",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","methylpentosum",-2.70950030675198,0,0
