phylum,class,order,family,genus,species,n_selected_otus,A_sum,B_sum,C_sum,min_clFDR
Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,D168,1,0,0,0,0.19879575545914266
Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,cryaerophilus,1,0,0,0,0.19879575545914266
Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,thomasii,1,0,0,0,0.19879575545914266
Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,unclassified Succinivibrio,1,0,0,0,0.19879575545914266
Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,nitroreducens,1,0,0,0,0.19879575545914266
Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Trigonala,elaeagnus,1,0,0,0,0.1987957554591427
Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,cateniformis,1,0,0,0,0.2041917119651269
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,infantis,1,-1.95996398454005,0,0,0.20785493304075195
Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,unclassified Peptostreptococcus,1,0,0,0,0.20979933722360944
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,guilliermondii,1,-1.95996398454005,0,0,0.21002963168635463
Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,unclassified Proteus,1,-2.05374891063182,0,0,0.21508624696268214
Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,hormaechei,1,-2.05374891063182,0,0,0.21987678415906517
Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,unclassified Actinomyces,1,-1.95996398454005,0,0,0.2201499927664084
Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,unclassified Enhydrobacter,1,-1.95996398454005,0,0,0.22015398670096964
Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,indistinctus,1,0,0,0,0.22445160775649362
Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,aerilata,1,0,0,1.95996398454005,0.22811397524868215
Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,guillouiae,1,-1.95996398454005,0,0,0.22826891940050364
Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,unclassified Acinetobacter,1,-1.95996398454005,0,0,0.2304133100363594
Firmicutes,Clostridia,Clostridiales,Tissierellaceae,WAL_1855D,unclassified WAL_1855D,1,0,0,0,0.23078191566863043
Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,endodontalis,1,0,0,0,0.23094403560832089
Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,ruminantium,1,-2.70950030675198,0,0,0.23666914667830624
Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,flexneri,1,-2.05374891063182,0,0,0.2516272045129646
Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,subflava,1,0,0,0,0.2612505636533695
