OTUname,phylum,class,order,family,genus,species,A,B,C,clFDR
OTU_1006,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.1509714156582849
OTU_434,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,unclassified Christensenellaceae,unclassified Christensenellaceae,0,0,0,0.1509714156582849
OTU_820,Tenericutes,Mollicutes,Candidatus Izemoplasmatales,Candidatus Izemoplasmataceae,unclassified Candidatus Izemoplasma,unclassified Candidatus Izemoplasma,0,0,0,0.1509714156582849
OTU_124,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Eubacterium,biforme,0,0,0,0.1509714156582849
OTU_1127,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma,unclassified Anaeroplasma,0,0,0,0.1509714156582849
OTU_1455,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,breve,0,0,0,0.1509714156582849
OTU_81,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella,unclassified Sutterella,0,0,0,0.1509714156582849
OTU_646,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Pseudoramibacter_Eubacterium,unclassified Pseudoramibacter_Eubacterium,0,0,0,0.1509714156582849
OTU_1014,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,unclassified Christensenella,0,0,0,0.1509714156582849
OTU_671,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.1509714156582849
OTU_822,Firmicutes,Clostridia,Clostridiales,Tissierellaceae,1-68,unclassified 1-68,0,0,0,0.15097141565828492
OTU_650,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas,unclassified Dysgonomonas,0,0,0,0.15097141565828492
OTU_845,Bacteroidetes,Bacteroidia,Bacteroidales,Paraprevotellaceae,Prevotella,unclassified Prevotella,0,0,0,0.15097141565828492
OTU_183,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.15097141565828495
OTU_281,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.15097141565828495
OTU_1169,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,unclassified Clostridiales,0,0,0,0.15097141565828495
OTU_802,Firmicutes,Clostridia,Clostridiales,Mogibacteriaceae,unclassified Mogibacteriaceae,unclassified Mogibacteriaceae,0,0,0,0.15097141565828495
OTU_1377,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella,unclassified Sutterella,0,0,0,0.15097141565828495
